"OriginalPath","RecoveryPath","Role","Authority","SizeBytes","CreationTime","LastWriteTime","SHA256"
"C:\Users\spine\Downloads\alcubierre_drive_within_reach_illustrated.html","historical/stages1-5/article_versions/00-framework/alcubierre_drive_within_reach_illustrated.html","Illustrated article before embedded assets","primary article","34155","2026-06-09T10:39:18.1117188-04:00","2026-06-09T10:39:18.5416436-04:00","F9B22E025827593EA58073FE003B801B9E83BB9E775D0973E8736D71A5C5B930"
"C:\Users\spine\Downloads\alcubierre_drive_within_reach_illustrated_self_contained.html","historical/stages1-5/article_versions/00-framework/alcubierre_drive_within_reach_illustrated_self_contained.html","Self-contained illustrated article","primary article","12159025","2026-06-09T10:42:41.3496623-04:00","2026-06-09T10:42:42.7669782-04:00","898AEFE6C4AF3B1AB66160EB5871EA0077C35B3874E2ADBF6FBD496C45C2FCF4"
"C:\Users\spine\Downloads\Alcubierre_Proper_Time_Framework_final.html","historical/stages1-5/article_versions/00-framework/Alcubierre_Proper_Time_Framework_final.html","Pre-calculation framework article","primary article","23923","2026-06-08T13:38:25.9470605-04:00","2026-06-08T13:38:26.6662549-04:00","6157CAD7B5A62BFB30BB92B9110A46F5CCE01C671F5C68505049307F2FAB74BA"
"C:\Users\spine\Downloads\Alcubierre_Proper_Time_Framework_final_publishable_research_invitation.html","historical/stages1-5/article_versions/00-framework/Alcubierre_Proper_Time_Framework_final_publishable_research_invitation.html","Final research-invitation article","primary article","34289","2026-06-09T10:17:14.4611929-04:00","2026-06-09T10:17:15.1263812-04:00","3C3D657D05A1C2BE9B922F0F10B323920892F8BB34D9DAC36194E70838A312FC"
"C:\Users\spine\Downloads\Alcubierre_Proper_Time_Framework_publishable.html","historical/stages1-5/article_versions/00-framework/Alcubierre_Proper_Time_Framework_publishable.html","Pre-calculation publishable article","primary article","23537","2026-06-08T13:40:12.5809802-04:00","2026-06-08T13:40:12.9032982-04:00","FDBCFDB6D5B7D0080BE9E03969B8E49B0C0198E9653A7E8FEF2EFF641C242474"
"C:\Users\spine\Downloads\Alcubierre_Proper_Time_Framework_revised.html","historical/stages1-5/article_versions/00-framework/Alcubierre_Proper_Time_Framework_revised.html","Revised framework article","primary article","35273","2026-06-09T10:11:36.2674004-04:00","2026-06-09T10:11:36.6642407-04:00","5598A442EBE2CCC7C1A3D91F6DDB9CD0B5E5BBB7E3DC6B262681F06A93345216"
"C:\Users\spine\Downloads\alcubierre_drive_within_reach_illustrated_with_reduced_calculation.html","historical/stages1-5/article_versions/01-stage1/alcubierre_drive_within_reach_illustrated_with_reduced_calculation.html","Stage 1 reduced moving-wall calculation","primary article","12464051","2026-06-09T11:45:56.0665248-04:00","2026-06-09T11:45:57.2913871-04:00","72918425DBD44699E47E868A16EAA45A761AEEA0F3C4AB8EB29116126C3C5781"
"C:\Users\spine\Documents\Alcubiere Extension from Proper Time\alcubierre_drive_within_reach_with_appendix_b_staged_calculations.html","historical/stages1-5/article_versions/02-stages2-3/alcubierre_drive_within_reach_with_appendix_b_staged_calculations.html","Stages 2-3 staged Alcubierre-wall calculations","primary article","13221997","2026-06-09T12:18:10.3542852-04:00","2026-06-09T12:18:11.4595128-04:00","25CE4F94596103EC89A99538A1B7944D70CE24755295F419467C2E730253A4E1"
"C:\Users\spine\Downloads\alcubierre_drive_within_reach_with_dim4_stage4c_results.html","historical/stages1-5/article_versions/03-stage4ABC/alcubierre_drive_within_reach_with_dim4_stage4c_results.html","Stage 4A-C integrated article","primary article","14696593","2026-06-09T15:32:56.2799363-04:00","2026-06-09T15:32:58.1051488-04:00","28C9F0C7285CE0E4C53C126CEEB4AAD6AF0D4092F43F370B9C882186BC10EAFA"
"C:\Users\spine\Documents\Alcubiere Extension from Proper Time\alcubierre_drive_within_reach_with_action_derived_Q_appendix.html","historical/stages1-5/article_versions/04-stage4D/alcubierre_drive_within_reach_with_action_derived_Q_appendix.html","Action-derived Q appendix article","primary article","14706874","2026-06-09T20:30:05.3072100-04:00","2026-06-09T20:30:07.0035886-04:00","2F83FEA80A8360ECC7498F3FA76F83E28100FE8659E8A06CCCA75F2BF0247311"
"C:\Users\spine\Documents\Alcubiere Extension from Proper Time\alcubierre_drive_within_reach_with_stage4D_action_comparison.html","historical/stages1-5/article_versions/04-stage4D/alcubierre_drive_within_reach_with_stage4D_action_comparison.html","Stage 4D action comparison article","primary article","15896148","2026-06-09T23:07:35.1870031-04:00","2026-06-09T23:07:36.8827757-04:00","ED9B848F8A6E1F86FD0D6D1ECC4115B0966964EDEFACA46538B9564CBAECE530"
"C:\Users\spine\Downloads\alcubierre_drive_within_reach_with_stage5_parameter_sweep.html","historical/stages1-5/article_versions/05-stage5A/alcubierre_drive_within_reach_with_stage5_parameter_sweep.html","Stage 5A parameter-sweep article","primary article","17696342","2026-07-13T18:54:45.4519804-04:00","2026-07-13T18:54:48.0829799-04:00","D9F582500CB270ABBFB2BB1DC46F40E82E9311AF04B04359488AF01E7726FF5D"
"C:\Users\spine\Downloads\alcubierre_drive_within_reach_with_stage5B_confirmation.html","historical/stages1-5/article_versions/06-stage5B/alcubierre_drive_within_reach_with_stage5B_confirmation.html","Stage 5B confirmation article","primary article","24659811","2026-06-10T14:25:27.2859650-04:00","2026-06-10T14:25:29.5565145-04:00","4623BD04296C216E0A865F3FD86A33CB99A13E36E099EAFECC65F674112D9AAA"
"C:\Users\spine\Documents\LaTeXProjects\Alcubierre test of the Spinelli Framework for discrete time\Stage 4C test\Spinelli_Alcubierre_Stage4C_DIM4_memory_optimized.ipynb","historical/stages1-5/notebooks/stage4/Spinelli_Alcubierre_Stage4C_DIM4_memory_optimized.ipynb","Executed Stage 4A-D notebook","authoritative notebook","323671","2026-06-09T13:55:14.1422643-04:00","2026-07-03T15:22:18.4275218-04:00","1E605096B1334C1998331C4FEFDC1017B2D783120F8079E4D836F40AF4680AFE"
