DIM,N,R,sigma,v_s,relative_Bianchi_residual,rho_relative_peak_error,lambda_fit,beta_fit,abs_beta_fit_plus_1,Q_fit_residual,Q_action_residual,action_residual_over_fit_residual,relative_tensor_difference_action_vs_fit,action_positive_fraction_of_abs_rho,eta_needed_for_action_positive_to_match_abs_rho,action_Q00_absrho_correlation
4,31,2.0,0.5,0.25,0.0021285474873758,0.1053991200050142,0.0042023541126515,-1.0013125671634129,0.0013125671634128,0.0017958993027664,0.0017955383044073,0.9997989874161828,2.3787368819598158e-05,1.008023856012504,0.99204001377086,-0.1377795188843844
4,31,3.0,0.5,0.25,0.0016314295415308,0.0445847166326807,0.003017140771218,-1.0032009640625057,0.0032009640625056,0.0020831584026755,0.0020826915507518,0.9997758922590272,3.696947980646425e-05,0.5655768074626857,1.7681064477983846,-0.1148078912794856
4,31,4.0,0.5,0.25,0.00143537992926,0.0460534294402263,0.0030279085055426,-1.003166957350547,0.003166957350547,0.0021920973028513,0.0021922117661099,1.0000522163220276,2.3215669177413803e-05,0.5133541078924788,1.947973113735068,-0.1776839184699843
4,31,2.0,0.5,0.5,0.0043717559936613,0.1055114115907913,0.0168912860463999,-1.004196806661668,0.0041968066616679,0.0071279754663772,0.0071277274455723,0.9999652045933546,0.0001636418667616,4.368901315660592,0.2288904984911056,-0.1279750137827758
4,31,3.0,0.5,0.5,0.0032742896059877,0.0445799075064313,0.0120791046284189,-1.0112130953270626,0.0112130953270626,0.0082891051739067,0.0082913233123058,1.000267596845808,0.0002759038677021,2.434445471965184,0.4107711639122314,-0.1051313521743857
4,31,4.0,0.5,0.5,0.0028741310920875,0.0460510295548029,0.0120862729872833,-1.0113670516434887,0.0113670516434887,0.0085556717833668,0.0085621892579693,1.0007617723970128,0.0001775765674485,2.1859249450977867,0.4574722486435897,-0.1703391885327798
4,31,2.0,0.5,0.75,0.0066855125452957,0.1057503120710971,0.0383006134016789,-1.0051961056139973,0.0051961056139973,0.0157727314353224,0.0157744117354219,1.000106531966665,0.000329044065209,11.167829968402634,0.0895429105591077,-0.1138275149043099
4,31,3.0,0.5,0.75,0.0048906238144915,0.0445718935440666,0.0272725498561169,-1.0186555272044824,0.0186555272044823,0.0181702815692105,0.0181837884685992,1.0007433511328538,0.0007326712975264,6.164467039134043,0.162220025454216,-0.0916087079826811
4,31,4.0,0.5,0.75,0.0042486231149035,0.0460470301500855,0.0271470686941009,-1.0199283295413548,0.0199283295413548,0.0182353942762821,0.0182620833110111,1.001463584188235,0.0004977208458362,5.443045344370561,0.183720681481047,-0.1582565219577974
4,31,2.0,0.5,1.0,0.0089540335751265,0.1078173349791018,0.0686976952297101,-0.998045064366619,0.001954935633381,0.0266565509052238,0.0266548195703605,0.9999350503045402,0.0001737803326936,23.46081258743317,0.0426242695675277,-0.0987208900692087
4,31,3.0,0.5,1.0,0.0064390896450147,0.0445606771677182,0.0487565296161856,-1.0161674994023084,0.0161674994023084,0.0300847773676373,0.03010591236323,1.0007025146084496,0.0008686001745259,12.82137837175442,0.0779947343417464,-0.0775594101401327
4,31,4.0,0.5,1.0,0.0054873469635851,0.0460414321469452,0.048204615311603,-1.0200903168996116,0.0200903168996116,0.0293943284567597,0.0294364606435149,1.0014333440825898,0.0006899258969828,11.082258637774418,0.0902343134811392,-0.1423183934167287
4,31,2.0,1.0,0.25,0.0094083701797465,0.1575505148613686,0.0044933011103842,-1.000173501398001,0.000173501398001,0.0129908647210855,0.0129908177092339,0.9999963811607092,1.6488765036824678e-06,6.331604373358778,0.1579378528778041,-0.072434455703281
4,31,3.0,1.0,0.25,0.0098095519901657,0.1711064754786304,0.0035020362371128,-0.9978496054870398,0.0021503945129601,0.0134393893640673,0.0134397207875101,1.0000246606027816,1.2915993880462824e-05,4.632247376850845,0.2158779354050458,0.0006933770071014
4,31,4.0,1.0,0.25,0.0101465130366144,0.1744728188697198,0.0076894536620915,-0.9977087549864976,0.0022912450135023,0.0136855158029317,0.0136850357688988,0.9999649239356564,1.1251471203887637e-05,4.222399030933963,0.2368321877382601,0.0002442755137199
4,31,2.0,1.0,0.5,0.0184208065407586,0.1575132052210348,0.0187137813510984,-0.9870700150956824,0.0129299849043175,0.0545374463034913,0.0545312378848457,0.9998861622780983,0.0002625774965357,26.984942272698508,0.0370577038814617,-0.0587606464477857
4,31,3.0,1.0,0.5,0.0190947465213463,0.171095696459394,0.0150690965288209,-0.9725589289920752,0.0274410710079248,0.0565561769510764,0.0565521998769699,0.9999296792265512,0.0003658255779335,19.7375116912515,0.0506649478233491,0.0073941371996111
4,31,4.0,1.0,0.5,0.0197335728576113,0.1744682841330539,0.0314000922010952,-0.9749574075791446,0.0250425924208553,0.0565101956879501,0.0564851931157168,0.9995575564386416,0.0002743209516192,18.001727861659152,0.055550223161069,0.005603471299762
4,31,2.0,1.0,0.75,0.0274004923993563,0.1574510429086633,0.0439865942619919,-0.9315971296398492,0.0684028703601508,0.1217548242888237,0.1216563778377467,0.9991914369582312,0.0021111871811115,67.48207199699286,0.0148187506756544,-0.039444415304933
4,31,3.0,1.0,0.75,0.028182984419551,0.1710777344797275,0.036623242292804,-0.8912010638838771,0.1087989361161229,0.1257366060087912,0.1256678893468748,0.9994534872214408,0.0022740701193103,49.414577772455765,0.0202369431264757,0.0162139316310611
4,31,4.0,1.0,0.75,0.0287955539767398,0.1744607270804526,0.0719747262196258,-0.90743381578089,0.09256618421911,0.1235665782283746,0.1234063699382791,0.9987034658368592,0.0016067966185182,45.15598777006685,0.0221454573221158,0.0129837419748938
4,31,2.0,1.0,1.0,0.0375024834747036,0.1573640636016304,0.0795628579418684,-0.8147272992950545,0.1852727007049455,0.1950115301588558,0.1946374296360382,0.998081649210624,0.0070001127272919,139.21182257927185,0.0071832979517997,-0.0194473715139265
4,31,3.0,1.0,1.0,0.0382880233443519,0.1710525956067138,0.0681732933045862,-0.7451013160133046,0.2548986839866953,0.1991319688583789,0.1988604481871462,0.9986364787492972,0.0066275644574028,102.31715758659657,0.0097735318649137,0.0243774271214464
4,31,4.0,1.0,1.0,0.0382347687598276,0.1744501495992787,0.1290780734300717,-0.7906967611924092,0.2093032388075908,0.1938349692700141,0.1934169464641028,0.997843408712651,0.0046113433213946,93.6279617189193,0.0106805700096526,0.0205904213959405
4,31,2.0,2.0,0.25,0.0421868279149332,0.4367759957164495,0.0051030065083332,-0.881547533770248,0.118452466229752,0.0808916962514734,0.0811717212229698,1.0034617270309902,0.0015181926700455,36.61540591359386,0.0273109084837084,-0.04514577550202
4,31,3.0,2.0,0.25,0.0437751036244855,0.4537204897133005,0.0042568028532057,-0.811733325542396,0.188266674457604,0.0835308131113074,0.0838889487964175,1.004287467962666,0.0020202674668067,32.09620777204158,0.0311563287196527,-0.0165922158988788
4,31,4.0,2.0,0.25,0.045068249737945,0.4414647061055793,0.0136447863072811,-0.7767439515374472,0.2232560484625527,0.0864286591091834,0.0867624368911163,1.0038618877739536,0.0022584331687408,26.128500840397976,0.0382723833299258,0.0098539754552767
4,31,2.0,2.0,0.5,0.0833449913440013,0.436702124941687,0.0258061689608266,-0.7020209915995056,0.2979790084004944,0.3445479274103136,0.3456126248061552,1.0030901285746925,0.0065839771237771,155.3495188710677,0.0064370975028892,-0.0320968654873017
4,31,3.0,2.0,0.5,0.0860506677461174,0.4536970927325788,0.0242475114095335,-0.5495226726468052,0.4504773273531948,0.3501756799110748,0.3514678070101998,1.003689939573911,0.0086592928046565,136.6686081704472,0.0073169692249506,-0.0063860302120244
4,31,4.0,2.0,0.5,0.0882885039510931,0.4414549420558876,0.0606737454246105,-0.496872138101691,0.5031278618983089,0.3560343979590527,0.3570561298211355,1.0028697560346411,0.0091392953782071,112.98216017501876,0.008850954862705,0.0182273235756466
4,31,2.0,2.0,0.75,0.140212419710622,0.4365790620824362,0.0634702656697731,-0.5192296467097041,0.4807703532902959,0.5702092118040961,0.571481045567019,1.0022304686360624,0.010594669935653,402.64310285168887,0.0024835890467701,-0.0141079034942552
4,31,3.0,2.0,0.75,0.1433804682660066,0.4536581060945907,0.0627079180519027,-0.3157924108026872,0.6842075891973127,0.5757177302686689,0.577117399674478,1.0024311730075708,0.0134552487347846,356.2908220184686,0.0028066959298439,0.0059282649540482
4,31,4.0,2.0,0.75,0.1455846618297414,0.4414386708293952,0.1468225986024891,-0.2668660170084461,0.7331339829915539,0.5759930373648056,0.5770454202251077,1.0018270756624366,0.0135547410709801,303.76184534704834,0.0032920526896901,0.0257982902150457
4,31,2.0,2.0,1.0,0.234043430079302,0.4364069008450712,0.1107716439270825,-0.3342936325032532,0.6657063674967467,0.7420315611916612,0.7434727915479427,1.0019422763554249,0.0136201666719275,911.7099083605764,0.0010968401141961,7.507033842544523e-06
4,31,3.0,2.0,1.0,0.2380911807895393,0.4536035456831391,0.1149045093079441,-0.1147349362766974,0.8852650637233026,0.7461392902012624,0.7472732368745487,1.0015197519929295,0.0165438297922053,817.1093346261271,0.0012238264301038,0.0136643671932275
4,31,4.0,2.0,1.0,0.2396615461140989,0.4414158970991075,0.2685995486328477,-0.0824757305396586,0.9175242694603414,0.739474129174133,0.7399850131965314,1.000690874774712,0.0162119387306169,726.8639187901426,0.0013757733382398,0.0273801161261028
4,31,2.0,4.0,0.25,0.1082403799133084,0.6755276705676175,0.0054260646839295,-0.8705504050214963,0.1294495949785037,0.1821911014768946,0.1820143398943406,0.9990298012300212,0.0020880307306053,202.6281048465825,0.0049351495477744,-0.1367356335232204
4,31,3.0,4.0,0.25,0.1098984924547994,0.679071487472561,0.006336655926183,-0.8161683099056145,0.1838316900943855,0.1838723852376508,0.183562650331008,0.9983154898097264,0.0026922646129446,191.9458443669793,0.0052098028133816,-0.1397194183817456
4,31,4.0,4.0,0.25,0.111533204342631,0.7014702062538939,0.0140700326342566,-0.7792120535727041,0.2207879464272959,0.1881167978042567,0.1876560329441879,0.9975506447832044,0.0031979011771499,156.3745563656873,0.0063949022349995,-0.1280108738088028
4,31,2.0,4.0,0.5,0.2877417852228016,0.6749594240721923,0.0335835068208005,-0.6110105283304152,0.3889894716695847,0.3653919801958378,0.3648979477299028,0.9986479383984558,0.0056518442796779,845.3263119544143,0.0011829751255322,-0.1223616370185177
4,31,3.0,4.0,0.5,0.2910691155354668,0.6788206859312893,0.0372152075446761,-0.4921118444350097,0.5078881555649902,0.3669780531976332,0.3664019492974216,0.9984301407258778,0.0067706768552922,788.7327378725691,0.001267856590684,-0.1252475313835992
4,31,4.0,4.0,0.5,0.2957585191432515,0.7013870885336334,0.0702531946053357,-0.4303461360014128,0.5696538639985872,0.3618862770053252,0.3611191708254353,0.9978802562334282,0.0073088945536942,647.0808450719056,0.0015454019503372,-0.1189215459788698
4,31,2.0,4.0,0.75,0.7239503948054089,0.6741517385668411,0.0782218215623905,-0.3336446757039206,0.6663553242960794,0.4894800045538313,0.4910535827655556,1.0032147956956048,0.0084650412920647,2384.764756871844,0.0004193285719769,-0.0818435535979235
4,31,3.0,4.0,0.75,0.7254082703464038,0.6783614256950617,0.0919002805571374,-0.2003013865782982,0.7996986134217018,0.492306610901521,0.4943023238539681,1.0040538008392628,0.0095100842612089,2272.4538222012466,0.0004400529463922,-0.0792175303013262
4,31,4.0,4.0,0.75,0.7365642888558526,0.7012485740228049,0.176893217225232,-0.145661933779769,0.854338066220231,0.4868363669250207,0.488880203113464,1.00419819949227,0.0098212299448684,1955.6647489035745,0.000511335084687,-0.0742646958644586
4,31,2.0,4.0,1.0,1.461123968436301,0.6731983659792753,0.1204874454763362,-0.1447618563963456,0.8552381436036544,0.6237811648928262,0.6320666743720414,1.0132827182761102,0.0105165733387837,7857.774191368814,0.0001272625015234,-0.0456017891139686
4,31,3.0,4.0,1.0,1.4750050672201835,0.6776964095985474,0.1597645954542921,-0.0429629027365225,0.9570370972634774,0.6231730041557053,0.6326979548353283,1.0152846009312095,0.0112780478280424,7636.311797714688,0.0001309532699148,-0.0431521701443664
4,31,4.0,4.0,1.0,1.4851314172973131,0.7010546890387495,0.3352209373018236,-0.006150820117431,0.9938491798825688,0.6157695295695423,0.6249761853524316,1.0149514637226775,0.0114518039699624,7072.228100521422,0.0001413981542713,-0.0385662610587304
