cell_index,status,elapsed_seconds,current_rss_before_kib,current_rss_after_kib,max_rss_before_kib,max_rss_after_kib,array_bytes_after,array_count_after
1,PASS,0.47340989112854004,76628,139384,75700,138436,0,0
3,PASS,0.015369176864624023,139388,139428,138436,138436,0,0
5,PASS,0.015421628952026367,139436,139444,138436,138436,0,0
7,PASS,0.015516042709350586,139456,139596,138436,138948,0,0
9,PASS,327.06380891799927,139600,239623216,138948,244646688,262375270344,12
11,PASS,2.968289375305176,239623220,239623216,244646688,244646688,262375270344,12
12,PASS,1.113966941833496,239623224,241300516,244646688,244648232,264090141392,13
14,PASS,219.53080415725708,241300516,245632516,244648232,249682312,368697275320,20
15,PASS,2.0098631381988525,245632520,245567240,249682312,249682312,370412146368,21
17,PASS,379.953896522522,245567244,219810948,249682312,249682312,430168338984,33
18,PASS,775.9166650772095,219810952,185304064,249682312,249682312,430168338984,33
19,PASS,0.04531431198120117,185304064,185305940,249682312,249682312,430168338984,33
21,PASS,0.01821136474609375,185305948,185306064,249682312,249682312,430168338984,33
23,PASS,1228.992181301117,185306156,168810464,249682312,249682312,310844223776,29
24,PASS,178.62364768981934,168810508,168824572,249682312,249682312,310844104712,26
