cell_index,status,elapsed_seconds,current_rss_before_kib,current_rss_after_kib,max_rss_before_kib,max_rss_after_kib,array_bytes_after,array_count_after
1,PASS,0.23340249061584473,84040,155692,83288,154896,0,0
3,PASS,0.01427006721496582,155700,155716,154896,154896,0,0
5,PASS,0.01368260383605957,155720,155732,154896,154896,0,0
7,PASS,0.013989925384521484,155744,155888,154896,155408,0,0
9,PASS,157.2567982673645,155892,116416744,155408,118854808,127369930824,12
11,PASS,1.3967790603637695,116416748,116416744,118854808,118854808,127369930824,12
12,PASS,0.5535821914672852,116416748,117232916,118854808,118857124,128202414032,13
14,PASS,41.68502449989319,117232916,166824300,118857124,168433360,178983889720,20
15,PASS,0.5547819137573242,166824304,167639244,168433360,169263348,179816372928,21
17,PASS,11.039170503616333,167639252,195217720,169263348,200307516,208051111464,33
18,PASS,150.6030673980713,195217724,195220168,200307516,226093908,208051111464,33
19,PASS,0.026639223098754883,195220172,195220544,226093908,226093908,208051111464,33
21,PASS,0.01591181755065918,195220548,195220604,226093908,226093908,208051111464,33
23,PASS,165.74239349365234,195220692,165330464,226093908,236218532,150788680736,29
24,PASS,90.64997839927673,165330512,165330724,236218532,236218532,150788597512,26
