cell_index,status,elapsed_seconds,current_rss_before_kib,current_rss_after_kib,max_rss_before_kib,max_rss_after_kib,array_bytes_after,array_count_after
1,PASS,0.23532891273498535,84160,156168,83544,154988,0,0
3,PASS,0.015598297119140625,156172,156200,154988,154988,0,0
5,PASS,0.01447439193725586,156208,156224,154988,155244,0,0
7,PASS,0.01441049575805664,156232,156368,155244,155500,0,0
9,PASS,105.29919290542603,156376,76771984,155500,78378488,83935752264,12
11,PASS,0.9033801555633545,76771988,76771984,78378488,78378488,83935752264,12
12,PASS,0.38559436798095703,76771992,77310856,78378488,78380624,84484351952,13
14,PASS,27.4810471534729,77310860,109991212,78380624,111050128,117948932920,20
15,PASS,0.38631701469421387,109991216,110528872,111050128,111598712,118497532608,21
17,PASS,7.066073179244995,110528876,128382140,111598712,131643848,136773668904,33
18,PASS,99.22629356384277,128382144,128384224,131643848,148728152,136773668904,33
19,PASS,0.026473045349121094,128384228,128384580,148728152,148728152,136773668904,33
21,PASS,0.016173124313354492,128384584,128384640,148728152,148728152,136773668904,33
23,PASS,109.6501636505127,128384728,108969680,148728152,155286172,99321367616,29
24,PASS,60.05781626701355,108969720,108970008,155286172,155286172,99321299912,26
