N,v_s,sigma,R,elapsed_seconds,bianchi_global,rho_relative_peak_error_global,beta_fit_global,action_over_fit_global,relative_tensor_difference_global,eta_needed_global
61.0,0.5,4.0,3.0,187.50325322151184,0.1814813431692226,0.4515525831613165,-0.2050382341881371,1.0060878237145645,0.013881215778952,0.0004892965941809
61.0,1.0,4.0,3.0,184.5193331241608,0.4274957536797952,0.4515403108866473,-0.4391764085936653,1.0017281677082277,0.0101686664773825,8.074686788706609e-05
67.0,0.5,4.0,3.0,1075.6428501605988,0.1678535595295339,0.3789509449770569,-0.2584705032036461,1.005752389091277,0.0122036626332725,0.0004198971484868
67.0,1.0,4.0,3.0,1036.5797431468964,0.3792714713107128,0.3789444349487341,-0.3775421142420722,1.0012469506896369,0.0119018990372127,7.19575772196803e-05
71.0,0.5,4.0,3.0,1419.9593877792358,0.1592361044461663,0.3883975399521418,-0.3059087015875757,1.0052861690546249,0.0108311547028585,0.0003840139224193
71.0,1.0,4.0,3.0,751.4397497177124,0.3516126803919718,0.3883910825354097,-0.3505097413247207,1.0009307880843894,0.0127639491508339,6.72614580836404e-05
75.0,0.5,4.0,3.0,1303.0356752872467,0.1509695394107039,0.3511464433780405,-0.3647590145601377,1.004748160346943,0.0093638792575389,0.0003549751050461
75.0,1.0,4.0,3.0,1905.180215358734,0.3268581054685308,0.3510370407077255,-0.3344534937462522,1.0006294889549605,0.0133943303825284,6.337736408576211e-05
79.0,0.5,4.0,3.0,2489.260145664215,0.1431009205896569,0.3195519035890485,-0.4275257780871385,1.0041606603537316,0.0079632878117442,0.0003309077781919
79.0,1.0,4.0,3.0,2401.6392629146576,0.3047195474291645,0.3195369940517192,-0.328794219523317,1.0003742605264965,0.0137134679820813,6.006053334834698e-05
81.0,0.5,4.0,3.0,2607.1111748218536,0.1393246880443316,0.3247639877676362,-0.4589735582583424,1.0038523535800563,0.0073088602065456,0.0003203444673109
81.0,1.0,4.0,3.0,2795.782797574997,0.2944761964487111,0.3247603541258501,-0.3327237487288461,1.000258444411852,0.0137165365900467,5.858966108649856e-05
85.0,0.5,4.0,3.0,4168.078072309494,0.1320778846814215,0.3013315513314206,-0.5222493491798688,1.0032500841783087,0.00609314292654,0.0003018133896944
85.0,1.0,4.0,3.0,3882.497894287109,0.2755085349811682,0.3012525757778457,-0.3466427918179272,1.0000649262516157,0.0135399943313417,5.597394560866574e-05
89.0,0.5,4.0,3.0,9771.301105499268,0.1252361795252312,0.2749708457322602,-0.5831482658653723,1.0026757373704065,0.0050279921627931,0.0002860760257726
89.0,1.0,4.0,3.0,6875.518662929535,0.2583095289575468,0.2749276778561584,-0.3711118997297795,0.9999176395478862,0.0130964309563427,5.373901084140411e-05
93.0,0.5,4.0,3.0,6882.72238278389,0.1187893383563995,0.2519061886715626,-0.6417736692652111,1.0021620448419508,0.0040978976551823,0.0002726496392774
93.0,1.0,4.0,3.0,7262.078553438187,0.2426842049831607,0.2518290559623936,-0.4008808589902717,0.9998186049223596,0.0124823925065952,5.179822424159007e-05
97.0,0.5,4.0,3.0,11065.587330579758,0.1127233893641375,0.2461698373650654,-0.6965536101067038,1.0017198916250991,0.00330307093612,0.0002610935141513
97.0,1.0,4.0,3.0,8602.358598709106,0.2284351834856899,0.2461683218316593,-0.4399021890856379,0.9997615286944458,0.0116325102568057,5.01074379749954e-05
101.0,0.5,4.0,3.0,12359.052857398989,0.107021999434801,0.2397521031106105,-0.7464165959032187,1.001343265059413,0.0026347166837101,0.0002509940945035
101.0,1.0,4.0,3.0,12143.07018136978,0.215390625265645,0.2397506459256474,-0.4830185752022434,0.9997381783548772,0.0106786452935455,4.8623190012604526e-05
