N,cases,median_elapsed_seconds,median_bianchi,median_rho_error,median_beta_fit,median_action_over_fit,median_tensor_difference,median_eta_needed
61.0,2,186.0112931728363,0.3044885484245089,0.45154644702398195,-0.3221073213909012,1.003907995711396,0.01202494112816725,0.000285021731033983
67.0,2,1056.1112966537476,0.27356251542012333,0.3789476899628955,-0.3180063087228592,1.003499669890457,0.0120527808352426,0.00024592736285324014
71.0,2,1085.6995687484741,0.25542439241906906,0.38839431124377577,-0.32820922145614817,1.0031084785695072,0.0117975519268462,0.0002256376902514702
75.0,2,1604.1079453229904,0.23891382243961734,0.351091742042883,-0.34960625415319496,1.0026888246509518,0.01137910482003365,0.00020917623456593107
79.0,2,2445.4497042894363,0.2239102340094107,0.31954444882038385,-0.37815999880522777,1.002267460440114,0.01083837789691275,0.00019548415577012347
81.0,2,2701.4469861984253,0.21690044224652133,0.32476217094674315,-0.3958486534935942,1.0020553989959542,0.01051269839829615,0.00018946706419869927
85.0,2,4025.2879832983017,0.20379320983129484,0.3012920635546331,-0.43444607049889794,1.001657505214962,0.00981656862894085,0.00017889366765153287
89.0,2,8323.409884214401,0.19177285424138898,0.2749492617942093,-0.47713008279757585,1.0012966884591463,0.0090622115595679,0.00016990751830700207
93.0,2,7072.400468111038,0.1807367716697801,0.2518676223169781,-0.5213272641277413,1.0009903248821552,0.00829014508088875,0.00016222393175949502
97.0,2,9833.972964644432,0.1705792864249137,0.24616907959836234,-0.5682278995961708,1.0007407101597725,0.00746779059646285,0.00015560047606314768
101.0,2,12251.061519384384,0.161206312350223,0.23975137451812895,-0.614717585552731,1.0005407217071451,0.006656680988627799,0.00014980864225805227
